source,target,type,weight,evidence,reason
project:lrm-large-reconstruction-model-for-single-image-to-3d,project:objaverse-xl,BUILT_ON,1.0,"trained on massive multi-view data containing around 1 million objects, including synthetic renderings from Objaverse",cross-category (image-to-3d -> benchmark-dataset)
project:lumi-ai,project:luminary-cloud-platform,BUILT_ON,1.0,Lumi AI is a 2024 commercial product from Luminary Cloud,cross-category (generative-platform -> multi-disciplinary-optimization)
project:lumi-ai,project:luminary-shift-wing,CITES,1.0,"Luminary Cloud , a pioneer in realtime engineering, today announced its official launch out of stealth",cross-category (generative-platform -> foundation-model-physics)
project:m3gnet,project:gnome,BUILT_ON,1.0,Used to relax candidate structures at scale (e.g. in GNoME's pipeline) without per-system DFT,cross-category (ml-interatomic-potential -> generative-materials)
project:materials-graph-library-matgl-an-open-source-graph-deep-learning-library-for-mat,project:graph-networks-as-a-universal-machine-learning-framework-for-molecules-and-cryst,CITES,1.0,Built on top of the popular Deep Graph Library (DGL) and Python Materials Genomics (Pymatgen),cross-category (ml-interatomic-potential -> generative-materials)
project:meshgraphnets,project:nvidia-simnettm-an-ai-accelerated-multi-physics-simulation-framework,BUILT_ON,1.0,Foundational for subsequent work like NVIDIA's MeshGraphNet implementations,cross-category (neural-operator -> differentiable-physics)
project:monolith-core-platform,project:monolith-ai,BUILT_ON,1.0,Refined from hundreds of AI projects with industry-leading engineering teams,cross-category (multi-disciplinary-optimization -> physics-surrogate)
project:multi-phenomena-melt-pool-sensor-data-fusion-for-enhanced-process-monitoring-of,project:heterogeneous-sensor-data-fusion-for-multiscale-shape-agnostic-flaw-detection-in,CITES,1.0,adopted a data fusion approach that captures multiple process phenomena,cross-category (process-monitoring-ml -> dfam-ai)
project:neural4d,project:direct3d-scalable-image-to-3d-generation-via-3d-latent-diffusion-transformer,BUILT_ON,1.0,Our Direct3D-S2 engine utilizes Spatial Sparse Attention (SSA),cross-category (text-to-3d -> image-to-3d)
project:neuralpdejl,project:pinn-original,BUILT_ON,1.0,neural network solvers for partial differential equations using physics-informed neural networks (PINNs),cross-category (differentiable-physics -> physics-informed-nn)
project:nvidia-modulus,project:nvidia-physicsnemo-2024,BUILT_ON,1.0,"NVIDIA PhysicsNeMo is undergoing an update to v2.0 - all the features, with easier installation and integration",cross-category (differentiable-physics -> foundation-model-physics)
project:nvidia-physicsnemo,project:nvidia-modulus,CITES,1.0,NVIDIA PhysicsNeMo (formerly Modulus),cross-category (physics-informed-nn -> differentiable-physics)
project:nvidia-physicsnemo,project:gino,BUILT_ON,1.0,"Ships FNO, GINO, DoMINO, MeshGraphNet, and diffusion components",cross-category (physics-informed-nn -> neural-operator)
project:nvidia-physicsnemo,project:fno,BUILT_ON,1.0,"Ships FNO, GINO, DoMINO, MeshGraphNet, and diffusion components",cross-category (physics-informed-nn -> neural-operator)
project:nvidia-physicsnemo,project:meshgraphnets,BUILT_ON,1.0,"Ships FNO, GINO, DoMINO, MeshGraphNet, and diffusion components",cross-category (physics-informed-nn -> neural-operator)
project:nvidia-physicsnemo,project:simscale-foundation-pump,BUILT_ON,1.0,"Most production physics foundation models (SimScale, Luminary, BeyondMath partners) are built on PhysicsNeMo",cross-category (physics-informed-nn -> foundation-model-physics)
project:nvidia-physicsnemo,project:luminary-shift-wing,BUILT_ON,1.0,"Most production physics foundation models (SimScale, Luminary, BeyondMath partners) are built on PhysicsNeMo",cross-category (physics-informed-nn -> foundation-model-physics)
project:nvidia-physicsnemo-2024,project:nvidia-modulus,CITES,1.0,"NVIDIA PhysicsNeMo is an open-source Python framework for building, training, and fine-tuning physics AI models at scale",cross-category (foundation-model-physics -> differentiable-physics)
project:nvidia-physicsnemo-2024,project:nvidia-physicsnemo,CITES,1.0,"NVIDIA PhysicsNeMo is an open-source Python framework for building, training, and fine-tuning physics AI models at scale",cross-category (foundation-model-physics -> physics-informed-nn)
project:nx-generative-design-topology,project:nx-generative-design,CITES,1.0,NX Generative Design Topology is a 2017 commercial product from Siemens Digital Industries Software,cross-category (topology-optimization -> generative-platform)
project:objaverse-xl,project:zero-1-to-3-zero-shot-one-image-to-3d-object,BUILT_ON,1.0,"training Zero123 on novel view synthesis, utilizing over 100 million multi-view rendered images",cross-category (benchmark-dataset -> image-to-3d)
project:objaverse-xl,project:zero123-a-single-image-to-consistent-multi-view-diffusion-base-model,BUILT_ON,1.0,"training Zero123 on novel view synthesis, utilizing over 100 million multi-view rendered images",cross-category (benchmark-dataset -> image-to-3d)
project:physics-informed-geometry-aware-neural-operator,project:pino,BUILT_ON,1.0,integrate this component within the existing Deep Compositional Operator Network architecture,cross-category (physics-informed-nn -> neural-operator)
project:physics-informed-geometry-aware-neural-operator,project:physics-informed-neural-operator-for-learning-partial-differential-equations,CITES,1.0,physics-informed training offers an alternative way of building neural operators,cross-category (physics-informed-nn -> neural-operator)
project:physics-informed-neural-networks-for-inverse-problems-in-nano-optics-and-metamat,project:physicsinformed-machine-learning-for-inverse-design-of-optical-metamaterials,CITES,1.0,development of physics-informed deep learning techniques for inverse scattering can enable the design of novel functional nanostructures,cross-category (physics-informed-nn -> inverse-design-materials)
project:physicsinformed-machine-learning-for-inverse-design-of-optical-metamaterials,project:physics-informed-neural-networks-for-inverse-problems-in-nano-optics-and-metamat,CITES,1.0,a physics‐informed deep learning (DL) framework is used,cross-category (inverse-design-materials -> physics-informed-nn)
project:pina,project:pinn-original,BUILT_ON,1.0,"PINA provides an intuitive framework for defining, experimenting with, and solving complex problems using Neural Networks, Physics-Informed Neural Networks (PINNs)",cross-category (differentiable-physics -> physics-informed-nn)
project:pina,project:pino,BUILT_ON,1.0,"PINA provides an intuitive framework for defining, experimenting with, and solving complex problems using Neural Operators",cross-category (differentiable-physics -> neural-operator)
project:pino,project:pinn-original,BUILT_ON,1.0,bridging the data-driven neural-operator paradigm with the constraint-based PINN paradigm,cross-category (neural-operator -> physics-informed-nn)
project:predicting-build-orientation-of-additively-manufactured-parts-with-mechanical-ma,project:part-machining-feature-recognition-based-on-a-deep-learning-method,CITES,1.0,mapping standard machining features to build orientation angles,cross-category (dfam-ai -> dfm-ai)
project:predicting-build-orientation-of-additively-manufactured-parts-with-mechanical-ma,project:development-of-a-deep-learning-machining-feature-recognition-network-for-recogni,CITES,1.0,classification algorithm for eighteen standard machining features using a nine-layer 3D Convolutional Neural Network (CNN),cross-category (dfam-ai -> dfm-ai)
project:predicting-build-orientation-of-additively-manufactured-parts-with-mechanical-ma,project:machining-feature-recognition-based-on-deep-neural-networks-to-support-tight-int,CITES,1.0,mapping standard machining features to build orientation angles,cross-category (dfam-ai -> b-rep-learning)
project:project-completion-time-prediction-based-on-bim-and-bp-neural-network,project:an-improved-method-for-nurbs-surface-based-on-particle-swarm-optimization-bp-neu,CITES,1.0,Back Propagation (BP) neural network to forecast project completion times,cross-category (aec-construction-ai -> b-rep-learning)
project:rafinex-mobius-robust-design,project:rafinex-mobius,BUILT_ON,1.0,With the imminent launch of Möbius — our stochastic topology optimization software solution,cross-category (topology-optimization -> generative-platform)
project:rgo-robotics,project:isaac-lab,BUILT_ON,1.0,leverages NVIDIA Isaac Perceptor acceleration libraries,cross-category (robotics-mfg-ai -> differentiable-physics)
project:scimlai,project:neuralpdejl,BUILT_ON,1.0,Composable open source software for scientific machine learning with differentiable programming,cross-category (scientific-ml -> differentiable-physics)
project:senvol-ml,project:senvol,BUILT_ON,1.0,Senvol ML is a 2023 commercial product from Senvol,cross-category (vision-inspection-ml -> process-monitoring-ml)
project:skexgen,project:fusion360-gallery-dataset,BUILT_ON,1.0,Trained on the Fusion 360 Gallery sketch-extrude dataset,cross-category (program-cad -> benchmark-dataset)
project:solid-edge-generative-design-topology,project:solid-edge-generative-design,BUILT_ON,1.0,Generative design software brings advanced topology optimization to Solid Edge,cross-category (topology-optimization -> generative-platform)
project:splatter-image-ultra-fast-single-view-3d-reconstruction,project:3d-gaussian-splatting-for-real-time-radiance-field-rendering,CITES,1.0,"Splatter Image is based on Gaussian Splatting, which allows fast and high-quality reconstruction of 3D scenes",cross-category (image-to-3d -> generative-3d-shape)
project:synopsys-design-da,project:synopsys-ai-copilot,CITES,1.0,Synopsys.ai chip-design stack,cross-category (optimization -> cad-copilot)
project:synopsys-tso-ai,project:synopsys-ai-copilot,BUILT_ON,1.0,Synopsys introduced TSO.ai as part of the broader 2023 expansion of the Synopsys.ai suite,cross-category (optimization -> cad-copilot)
project:synopsys-vso-ai,project:synopsys-ai-copilot,CITES,1.0,Introduced as part of the 2023 Synopsys.ai expansion,cross-category (optimization -> cad-copilot)
project:text-to-3d-using-gaussian-splatting,project:3d-gaussian-splatting-for-real-time-radiance-field-rendering,CITES,1.0,"adopts Gaussian Splatting, a recent state-of-the-art representation",cross-category (text-to-3d -> generative-3d-shape)
project:text-to-cadquery-a-new-paradigm-for-cad-generation-with-scalable-large-model-cap,project:text2cad-generating-sequential-cad-models-from-beginner-to-expert-level-text-pro,CITES,1.0,"we augment the Text2CAD dataset with 170,000 CadQuery annotations",cross-category (program-cad -> text-to-cad)
project:text2cad-generating-sequential-cad-models-from-beginner-to-expert-level-text-pro,project:deepcad,BUILT_ON,1.0,data annotation pipeline for generating text prompts ... for the DeepCAD dataset using Mistral and LLaVA-NeXT,cross-category (text-to-cad -> program-cad)
project:torchphysics,project:pinn-original,CITES,1.0,TorchPhysics implements methods like PINN [ 1 ] and DeepRitz [ 2 ],cross-category (differentiable-physics -> physics-informed-nn)
project:torchphysics,project:deepxde,CITES,1.0,TorchPhysics implements methods like PINN [ 1 ] and DeepRitz [ 2 ],cross-category (differentiable-physics -> physics-informed-nn)
project:tripo3d,project:triposr,BUILT_ON,1.0,Tripo3D (the commercial product behind the open-source TripoSR research),cross-category (text-to-3d -> image-to-3d)
project:triposr,project:meshy-ai,CITES,1.0,"informed many follow-on commercial offerings (Meshy, Tripo3D itself, Rodin)",cross-category (image-to-3d -> text-to-3d)
project:triposr,project:tripo3d,CITES,1.0,"informed many follow-on commercial offerings (Meshy, Tripo3D itself, Rodin)",cross-category (image-to-3d -> text-to-3d)
project:utilizing-industry-40-on-the-construction-site-challenges-and-opportunities,project:construction-with-digital-twin-information-systems,CITES,1.0,discusses the relevance of the following key Industry 4.0 technologies to construction: digital twin,cross-category (aec-construction-ai -> generative-platform)
project:yolov4-mn3-for-pcb-surface-defect-detection,project:msft-yolo-improved-yolov5-based-on-transformer-for-detecting-defects-of-steel-su,CITES,1.0,based on the cutting-edge YOLOv4 to detect PCB surface defect quickly and efficiently,cross-category (pcb-design-ai -> vision-inspection-ml)
